year,month,taxa,species,production_kg
2014,2,Teleósteos,Peixe-tábua,0
2014,2,Teleósteos,Pescada,63667
2014,2,Teleósteos,Pescada-cambucu,120
2014,2,Teleósteos,Pescadinha-real,10140
2014,2,Teleósteos,Pijirica,42
2014,2,Teleósteos,Prego,1129
2014,2,Teleósteos,Robalo,73
2014,2,Teleósteos,Roncador,1680
2014,2,Teleósteos,Sardinha-lage,93
2014,2,Teleósteos,Sardinha-verdadeira,50090
2014,2,Teleósteos,Sarrão,180
2014,2,Teleósteos,Sororoca,20
2014,2,Teleósteos,Tira-vira,3800
2014,2,Teleósteos,Trilha,1505
2014,2,Teleósteos,Xarelete,10
2014,2,Teleósteos,Xaréu,64962
2014,3,Crustáceos,Camarão-branco,34384
2014,3,Crustáceos,Camarão-cristalino,53997
2014,3,Crustáceos,Pitú,25508
2014,3,Crustáceos,Sapateira,1570
2014,3,Elasmobrânquios,Cação-anequim,2150
2014,3,Elasmobrânquios,Cação-azul,48455
2014,3,Elasmobrânquios,Cação-bagre,20
2014,3,Elasmobrânquios,Cação-cabeca-chata,90
2014,3,Elasmobrânquios,Cação-gato,500
2014,3,Elasmobrânquios,Cação-lombo-preto,15
2014,3,Elasmobrânquios,Cação-martelo,2065
2014,3,Elasmobrânquios,Cações,10567
2014,3,Elasmobrânquios,Caçonete,2699
2014,3,Elasmobrânquios,Emplastro,72414
2014,3,Elasmobrânquios,Machote,150
2014,3,Elasmobrânquios,Raia,6104
2014,3,Moluscos,Lula,5808
2014,3,Moluscos,Polvo,6996
2014,3,Não Cadastrado,Mistura,205765
2014,3,Não Cadastrado,Residuo,19774
2014,3,Teleósteos,Abrótea,80397
2014,3,Teleósteos,Abrótea-de-fundo,325280
2014,3,Teleósteos,Agulhão-branco,285
2014,3,Teleósteos,Albacora-bandolim,4620
2014,3,Teleósteos,Albacora-branca,167
2014,3,Teleósteos,Albacora-lage,20765.5
2014,3,Teleósteos,Atum,23066
2014,3,Teleósteos,Bagre,4701
2014,3,Teleósteos,Batata,1615
2014,3,Teleósteos,Betara,13100
2014,3,Teleósteos,Bonito-cachorro,1535.5
2014,3,Teleósteos,Bonito-listrado,1935402
2014,3,Teleósteos,Cabra,223840
2014,3,Teleósteos,Carapeba,2600
2014,3,Teleósteos,Castanha,224490
2014,3,Teleósteos,Cavala,10
2014,3,Teleósteos,Cavalinha,15418
2014,3,Teleósteos,Cioba,1535
2014,3,Teleósteos,Congro,5328
2014,3,Teleósteos,Congro-rosa,8700
2014,3,Teleósteos,Corcoroca,5150
2014,3,Teleósteos,Corvina,1310842
2014,3,Teleósteos,Dourado,135
2014,3,Teleósteos,Enchova,400
2014,3,Teleósteos,Enguia,180
2014,3,Teleósteos,Espada,18072
2014,3,Teleósteos,Galo,890
2014,3,Teleósteos,Galo-de-profundidade,260
2014,3,Teleósteos,Goete,71845
2014,3,Teleósteos,Gordinho,20730
2014,3,Teleósteos,Guaivira,3195
2014,3,Teleósteos,Linguado,80334
2014,3,Teleósteos,Linguado-areia,44950
2014,3,Teleósteos,Linguado-vermelho,100
2014,3,Teleósteos,Mangangá,2100
2014,3,Teleósteos,Maria-luiza,20
2014,3,Teleósteos,Maria-mole,326640
2014,3,Teleósteos,Marimbá,220
2014,3,Teleósteos,Meca,13234
2014,3,Teleósteos,Merluza,99270
2014,3,Teleósteos,Miracéu,72
2014,3,Teleósteos,Namorado,226
2014,3,Teleósteos,Olho-de-boi,500
2014,3,Teleósteos,Olho-de-cão,40
2014,3,Teleósteos,Oveva,280
2014,3,Teleósteos,Palombeta,116406
2014,3,Teleósteos,Pampo,2130
2014,3,Teleósteos,Pargo-rosa,440
2014,3,Teleósteos,Paru,40
2014,3,Teleósteos,Peixe-lua,210
2014,3,Teleósteos,Peixe-porco,59085
2014,3,Teleósteos,Peixe-sapo,20097
2014,3,Teleósteos,Pescada,43630
2014,3,Teleósteos,Pescada-cambucu,160
2014,3,Teleósteos,Pescadinha-real,2720
2014,3,Teleósteos,Pijirica,80
2014,3,Teleósteos,Prego,4906
2014,3,Teleósteos,Robalo,104
2014,3,Teleósteos,Roncador,80
2014,3,Teleósteos,Sardinha-lage,5480
2014,3,Teleósteos,Sardinha-verdadeira,11902638.58
2014,3,Teleósteos,Sarrão,1310
2014,3,Teleósteos,Tainha,2840
2014,3,Teleósteos,Tira-vira,5892
2014,3,Teleósteos,Trilha,940
2014,3,Teleósteos,Xarelete,87873
2014,3,Teleósteos,Xixarro,30770
2014,4,Crustáceos,Camarão-cristalino,99920
2014,4,Crustáceos,Pitú,42609
2014,4,Crustáceos,Sapateira,680
2014,4,Elasmobrânquios,Cação-anequim,700
2014,4,Elasmobrânquios,Cação-anjo,220
2014,4,Elasmobrânquios,Cação-azul,18000
2014,4,Elasmobrânquios,Cação-bagre,20
2014,4,Elasmobrânquios,Cação-gato,400
2014,4,Elasmobrânquios,Cação-martelo,1000
2014,4,Elasmobrânquios,Cações,9903
2014,4,Elasmobrânquios,Caçonete,1072
2014,4,Elasmobrânquios,Emplastro,78897
2014,4,Elasmobrânquios,Raia,3938
2014,4,Moluscos,Lula,750
2014,4,Moluscos,Polvo,2403
2014,4,Não Cadastrado,Mistura,195151
2014,4,Não Cadastrado,Residuo,70561
2014,4,Teleósteos,Abrótea,85146
2014,4,Teleósteos,Abrótea-de-fundo,237100
2014,4,Teleósteos,Agulhão-branco,66
2014,4,Teleósteos,Aipim,20
2014,4,Teleósteos,Albacora-bandolim,5653
2014,4,Teleósteos,Albacora-branca,48102
2014,4,Teleósteos,Albacora-lage,12338.5
2014,4,Teleósteos,Bagre,7610
2014,4,Teleósteos,Batata,3300
2014,4,Teleósteos,Betara,8415
2014,4,Teleósteos,Bonito-cachorro,1642.5
2014,4,Teleósteos,Bonito-listrado,1570118.5
2014,4,Teleósteos,Cabra,167056
2014,4,Teleósteos,Carapeba,2000
2014,4,Teleósteos,Carapicu,280
2014,4,Teleósteos,Castanha,299547
2014,4,Teleósteos,Cavalinha,245837
2014,4,Teleósteos,Congro,12182
2014,4,Teleósteos,Congro-rosa,33400
2014,4,Teleósteos,Corcoroca,4380
2014,4,Teleósteos,Corvina,586615
2014,4,Teleósteos,Enchova,995
2014,4,Teleósteos,Enguia,872
2014,4,Teleósteos,Espada,12451
2014,4,Teleósteos,Ferrinho,0
2014,4,Teleósteos,Galo,125363
2014,4,Teleósteos,Galo-de-profundidade,2650
2014,4,Teleósteos,Goete,27366
2014,4,Teleósteos,Gordinho,7709
2014,4,Teleósteos,Guaivira,3460
2014,4,Teleósteos,Linguado,64172
2014,4,Teleósteos,Linguado-areia,46438
2014,4,Teleósteos,Linguado-vermelho,37
2014,4,Teleósteos,Mangangá,1820
2014,4,Teleósteos,Maria-luiza,1740
2014,4,Teleósteos,Maria-mole,203840
2014,4,Teleósteos,Marimbá,40
2014,4,Teleósteos,Meca,6000
2014,4,Teleósteos,Merluza,61098
2014,4,Teleósteos,Miracéu,180
2014,4,Teleósteos,Namorado,3118
2014,4,Teleósteos,Olho-de-cão,3720
2014,4,Teleósteos,Oveva,1580
2014,4,Teleósteos,Palombeta,359826
2014,4,Teleósteos,Pampo,696
2014,4,Teleósteos,Pargo-rosa,496
2014,4,Teleósteos,Paru,830
2014,4,Teleósteos,Peixe-lua,6890
2014,4,Teleósteos,Peixe-porco,8340
2014,4,Teleósteos,Peixe-sapo,36669
2014,4,Teleósteos,Pescada,14820
2014,4,Teleósteos,Pescada-amarela,16000
2014,4,Teleósteos,Pescada-branca,240
2014,4,Teleósteos,Pescada-cambucu,2680
2014,4,Teleósteos,Pescadinha-real,5520
2014,4,Teleósteos,Prego,1500
2014,4,Teleósteos,Robalo,221
2014,4,Teleósteos,Roncador,2620
2014,4,Teleósteos,Sardinha-lage,254099
2014,4,Teleósteos,Sardinha-verdadeira,2457601.8
2014,4,Teleósteos,Sarrão,40
2014,4,Teleósteos,Serrinha,20
2014,4,Teleósteos,Sororoca,200
2014,4,Teleósteos,Tira-vira,6796
2014,4,Teleósteos,Trilha,1140
2014,4,Teleósteos,Xarelete,450
2014,5,Crustáceos,Camarão-cristalino,58863
2014,5,Crustáceos,Pitú,41271
2014,5,Crustáceos,Sapateira,20
2014,5,Elasmobrânquios,Cação-anequim,2528
2014,5,Elasmobrânquios,Cação-azul,67227
2014,5,Elasmobrânquios,Cação-cola-fina,200
2014,5,Elasmobrânquios,Cação-gato,360
2014,5,Elasmobrânquios,Cação-martelo,1029
2014,5,Elasmobrânquios,Cações,4774
2014,5,Elasmobrânquios,Caçonete,1643
2014,5,Elasmobrânquios,Emplastro,49246
2014,5,Elasmobrânquios,Raia,8308
2014,5,Elasmobrânquios,Ratinho,1282
2014,5,Moluscos,Calamar-argentino,19000
2014,5,Moluscos,Lula,560
2014,5,Moluscos,Polvo,725
2014,5,Não Cadastrado,Mistura,254573
2014,5,Não Cadastrado,Não discriminado,30000
2014,5,Não Cadastrado,Residuo,56481
2014,5,Teleósteos,Abrótea,101960
2014,5,Teleósteos,Abrótea-de-fundo,212500
2014,5,Teleósteos,Agulhão,80
2014,5,Teleósteos,Agulhão-branco,90
2014,5,Teleósteos,Albacora-bandolim,12575
2014,5,Teleósteos,Albacora-branca,10072
2014,5,Teleósteos,Albacora-lage,1282
2014,5,Teleósteos,Atum,266
2014,5,Teleósteos,Bagre,13325
2014,5,Teleósteos,Batata,2373
2014,5,Teleósteos,Betara,1933
2014,5,Teleósteos,Bonito-cachorro,19411
2014,5,Teleósteos,Bonito-listrado,919562
2014,5,Teleósteos,Cabra,79300
2014,5,Teleósteos,Carapau,260
2014,5,Teleósteos,Carapeba,360
2014,5,Teleósteos,Castanha,300832
2014,5,Teleósteos,Cavalinha,79730
2014,5,Teleósteos,Congro,16798
2014,5,Teleósteos,Congro-rosa,41927
2014,5,Teleósteos,Corcoroca,7592
2014,5,Teleósteos,Corvina,713316
2014,5,Teleósteos,Dourado,15217
2014,5,Teleósteos,Enchova,9859
2014,5,Teleósteos,Enguia,1380
2014,5,Teleósteos,Espada,4145
2014,5,Teleósteos,Galo,530
2014,5,Teleósteos,Goete,5280
2014,5,Teleósteos,Gordinho,8130
2014,5,Teleósteos,Guaivira,2690
2014,5,Teleósteos,Linguado,26603
2014,5,Teleósteos,Linguado-areia,34055
2014,5,Teleósteos,Mangangá,80
2014,5,Teleósteos,Maria-luiza,460
2014,5,Teleósteos,Maria-mole,107720
2014,5,Teleósteos,Marimbá,20
2014,5,Teleósteos,Meca,13361
2014,5,Teleósteos,Merluza,100050
2014,5,Teleósteos,Miracéu,40
2014,5,Teleósteos,Namorado,346
2014,5,Teleósteos,Olhete,100
2014,5,Teleósteos,Olho-de-boi,127
2014,5,Teleósteos,Olho-de-cão,120
2014,5,Teleósteos,Oveva,100
2014,5,Teleósteos,Palombeta,174286
2014,5,Teleósteos,Pampo,490
2014,5,Teleósteos,Pargo-rosa,2920
2014,5,Teleósteos,Paru,719
2014,5,Teleósteos,Peixe-porco,4880
2014,5,Teleósteos,Peixe-sapo,44263
2014,5,Teleósteos,Pescada,15627
2014,5,Teleósteos,Pescada-cambucu,180
2014,5,Teleósteos,Pescadinha-real,20
2014,5,Teleósteos,Prego,2739
2014,5,Teleósteos,Sardinha-lage,717458
2014,5,Teleósteos,Sardinha-verdadeira,4681430
2014,5,Teleósteos,Sarrão,100
2014,5,Teleósteos,Sororoca,20
2014,5,Teleósteos,Tainha,311937
2014,5,Teleósteos,Tira-vira,8560
2014,5,Teleósteos,Trilha,20
2014,5,Teleósteos,Xarelete,80
2014,5,Teleósteos,Xixarro,19600
2014,6,Crustáceos,Camarão-branco,1350
2014,6,Crustáceos,Camarão-cristalino,700
2014,6,Crustáceos,Camarão-rosa,56796
2014,6,Crustáceos,Camarão-santana,1100
2014,6,Crustáceos,Camarão-sete-barbas,112967
2014,6,Crustáceos,Pitú,3120
2014,6,Crustáceos,Sapateira,10
2014,6,Elasmobrânquios,Cação-anequim,3116
2014,6,Elasmobrânquios,Cação-azul,50623
2014,6,Elasmobrânquios,Cação-gato,120
2014,6,Elasmobrânquios,Cação-martelo,15
2014,6,Elasmobrânquios,Cações,9695
2014,6,Elasmobrânquios,Caçonete,277
2014,6,Elasmobrânquios,Emplastro,46020
2014,6,Elasmobrânquios,Raia,6858
2014,6,Elasmobrânquios,Ratinho,134
2014,6,Moluscos,Calamar-argentino,5300
2014,6,Moluscos,Polvo,125
2014,6,Não Cadastrado,Mistura,177747
2014,6,Não Cadastrado,Residuo,2100
2014,6,Teleósteos,Abrótea,188303
2014,6,Teleósteos,Abrótea-de-fundo,72500
2014,6,Teleósteos,Albacora-bandolim,430
2014,6,Teleósteos,Albacora-branca,7602
2014,6,Teleósteos,Albacora-lage,39740
2014,6,Teleósteos,Albacorinha,11317
2014,6,Teleósteos,Atum,47
2014,6,Teleósteos,Bagre,27759
2014,6,Teleósteos,Batata,4060
2014,6,Teleósteos,Betara,3930
2014,6,Teleósteos,Bonito-cachorro,4153
2014,6,Teleósteos,Bonito-listrado,825456
2014,6,Teleósteos,Cabra,69320
2014,6,Teleósteos,Carapeba,540
2014,6,Teleósteos,Castanha,289820
2014,6,Teleósteos,Cavalinha,407100
2014,6,Teleósteos,Cioba,550
2014,6,Teleósteos,Congro,368
2014,6,Teleósteos,Congro-rosa,8305
2014,6,Teleósteos,Corcoroca,3060
2014,6,Teleósteos,Corvina,155199
2014,6,Teleósteos,Dourado,24540
2014,6,Teleósteos,Enchova,2841
2014,6,Teleósteos,Enguia,500
2014,6,Teleósteos,Espada,7019
2014,6,Teleósteos,Galo,66350
2014,6,Teleósteos,Galo-de-profundidade,100
2014,6,Teleósteos,Goete,19810
2014,6,Teleósteos,Gordinho,19925
2014,6,Teleósteos,Guaivira,1160
2014,6,Teleósteos,Linguado,55146
2014,6,Teleósteos,Linguado-areia,21932
2014,6,Teleósteos,Mangangá,420
2014,6,Teleósteos,Maria-luiza,30020
2014,6,Teleósteos,Maria-mole,91200
2014,6,Teleósteos,Marimbá,40
2014,6,Teleósteos,Meca,23721
2014,6,Teleósteos,Merluza,44843
2014,6,Teleósteos,Miracéu,40
2014,6,Teleósteos,Namorado,68
2014,6,Teleósteos,Olho-de-cão,60
2014,6,Teleósteos,Oveva,80
2014,6,Teleósteos,Palombeta,281395
2014,6,Teleósteos,Pampo,32930
2014,6,Teleósteos,Papa-moscas,5000
2014,6,Teleósteos,Pargo-rosa,3510
2014,6,Teleósteos,Paru,38110
2014,6,Teleósteos,Peixe-porco,6680
2014,6,Teleósteos,Peixe-sapo,24917
2014,6,Teleósteos,Pescada,10080
2014,6,Teleósteos,Pescada-branca,700
2014,6,Teleósteos,Pescada-cambucu,300
2014,6,Teleósteos,Pescadinha-real,723
2014,6,Teleósteos,Prego,670
2014,6,Teleósteos,Roncador,40
2014,6,Teleósteos,Sardinha-cascuda,0
2014,6,Teleósteos,Sardinha-lage,191184
2014,6,Teleósteos,Sardinha-mole,0
2014,6,Teleósteos,Sardinha-verdadeira,1149068
2014,6,Teleósteos,Tainha,876183
2014,6,Teleósteos,Tira-vira,9200
2014,6,Teleósteos,Trilha,160
2014,6,Teleósteos,Xarelete,40
2014,7,Crustáceos,Camarão-branco,300
2014,7,Crustáceos,Camarão-rosa,21030
2014,7,Crustáceos,Camarão-sete-barbas,6200
2014,7,Elasmobrânquios,Cação-anequim,18
2014,7,Elasmobrânquios,Cação-azul,365
2014,7,Elasmobrânquios,Cação-martelo,800
2014,7,Elasmobrânquios,Cações,7282
2014,7,Elasmobrânquios,Caçonete,3686
2014,7,Elasmobrânquios,Emplastro,8550
2014,7,Elasmobrânquios,Raia,140
2014,7,Moluscos,Polvo,0
2014,7,Não Cadastrado,Mistura,48054
2014,7,Teleósteos,Abrótea,2910
2014,7,Teleósteos,Albacora-branca,10000
2014,7,Teleósteos,Albacora-lage,500
2014,7,Teleósteos,Albacorinha,80
2014,7,Teleósteos,Bagre,9275
2014,7,Teleósteos,Betara,1720
2014,7,Teleósteos,Bonito-cachorro,30
2014,7,Teleósteos,Bonito-listrado,133243
2014,7,Teleósteos,Cabra,15280
2014,7,Teleósteos,Carapau,20000
2014,7,Teleósteos,Castanha,30100
2014,7,Teleósteos,Corvina,501580
2014,7,Teleósteos,Dourado,67809
2014,7,Teleósteos,Enchova,365
2014,7,Teleósteos,Espada,933
2014,7,Teleósteos,Galo,17514
2014,7,Teleósteos,Goete,12340
2014,7,Teleósteos,Gordinho,22455
2014,7,Teleósteos,Guaivira,3015
2014,7,Teleósteos,Linguado,102220
2014,7,Teleósteos,Linguado-areia,407
2014,7,Teleósteos,Maria-mole,31198
2014,7,Teleósteos,Merluza,650
2014,7,Teleósteos,Olho-de-cão,400
2014,7,Teleósteos,Oveva,20
2014,7,Teleósteos,Palombeta,139280
2014,7,Teleósteos,Pampo,42480
2014,7,Teleósteos,Papa-moscas,5000
2014,7,Teleósteos,Pargo-rosa,100
2014,7,Teleósteos,Paru,100
2014,7,Teleósteos,Peixe-porco,3250
2014,7,Teleósteos,Peixe-sapo,20
2014,7,Teleósteos,Pescada,4080
2014,7,Teleósteos,Pescada-branca,120
2014,7,Teleósteos,Pescada-cambucu,90
2014,7,Teleósteos,Pescadinha-real,1180
2014,7,Teleósteos,Roncador,100
2014,7,Teleósteos,Tainha,40
2014,7,Teleósteos,Tira-vira,4020
2014,7,Teleósteos,Xarelete,7930
2014,8,Elasmobrânquios,Cação-anequim,1418
2014,8,Elasmobrânquios,Cação-azul,20
2014,8,Elasmobrânquios,Cações,2265
2014,8,Elasmobrânquios,Caçonete,1297
2014,8,Elasmobrânquios,Emplastro,524
2014,8,Elasmobrânquios,Raia,100
2014,8,Elasmobrânquios,Ratinho,303
2014,8,Não Cadastrado,Mistura,7093
2014,8,Não Cadastrado,Residuo,313
2014,8,Teleósteos,Abrótea,15795
2014,8,Teleósteos,Atum,154
2014,8,Teleósteos,Bagre,1360
2014,8,Teleósteos,Betara,2620
2014,8,Teleósteos,Bonito-cachorro,20
2014,8,Teleósteos,Cabra,9640
2014,8,Teleósteos,Castanha,24860
2014,8,Teleósteos,Cavalinha,50
2014,8,Teleósteos,Congro,111
2014,8,Teleósteos,Corcoroca,2800
2014,8,Teleósteos,Corvina,277325
2014,8,Teleósteos,Enchova,23583
2014,8,Teleósteos,Enguia,180
2014,8,Teleósteos,Espada,19503
2014,8,Teleósteos,Galo,14830
2014,8,Teleósteos,Goete,5540
2014,8,Teleósteos,Gordinho,10150
2014,8,Teleósteos,Guaivira,1260
2014,8,Teleósteos,Linguado,2366
2014,8,Teleósteos,Linguado-areia,143
2014,8,Teleósteos,Linguado-vermelho,105
2014,8,Teleósteos,Mangangá,420
2014,8,Teleósteos,Maria-mole,23336
2014,8,Teleósteos,Marimbá,40
2014,8,Teleósteos,Meca,5236
2014,8,Teleósteos,Merluza,520
2014,8,Teleósteos,Olhete,160
2014,8,Teleósteos,Olho-de-cão,120
2014,8,Teleósteos,Palombeta,780
2014,8,Teleósteos,Pampo,210
2014,8,Teleósteos,Paru,480
2014,8,Teleósteos,Peixe-porco,660
2014,8,Teleósteos,Peixe-sapo,40
2014,8,Teleósteos,Pescada,30856
2014,8,Teleósteos,Pescada-amarela,1080
2014,8,Teleósteos,Pescada-branca,128
2014,8,Teleósteos,Pescada-cambucu,400
2014,8,Teleósteos,Pescadinha-real,2980
2014,8,Teleósteos,Roncador,40
2014,8,Teleósteos,Sardinha-lage,162530
2014,8,Teleósteos,Sardinha-verdadeira,1935686
2014,8,Teleósteos,Serrinha,30
2014,8,Teleósteos,Sororoca,90
2014,8,Teleósteos,Tainha,100
2014,8,Teleósteos,Tira-vira,400
2014,8,Teleósteos,Xarelete,520
2014,8,Teleósteos,Xixarro,9600
2014,9,Elasmobrânquios,Cação-anequim,629
2014,9,Elasmobrânquios,Cação-azul,3666
2014,9,Elasmobrânquios,Cações,573
2014,9,Elasmobrânquios,Caçonete,349
2014,9,Elasmobrânquios,Emplastro,551
2014,9,Elasmobrânquios,Ratinho,357
2014,9,Não Cadastrado,Mistura,4035
2014,9,Não Cadastrado,Residuo,7653
2014,9,Teleósteos,Abrótea,3360
2014,9,Teleósteos,Albacora-branca,52
2014,9,Teleósteos,Atum,170
2014,9,Teleósteos,Bagre,680
2014,9,Teleósteos,Betara,2580
2014,9,Teleósteos,Cabra,5840
2014,9,Teleósteos,Carapau,3000
2014,9,Teleósteos,Carapeba,140
2014,9,Teleósteos,Castanha,9110
2014,9,Teleósteos,Cavalinha,310
2014,9,Teleósteos,Corcoroca,1520
2014,9,Teleósteos,Corvina,248393
2014,9,Teleósteos,Enchova,4083
2014,9,Teleósteos,Enguia,120
2014,9,Teleósteos,Espada,2050
2014,9,Teleósteos,Galo,130
2014,9,Teleósteos,Goete,38120
2014,9,Teleósteos,Gordinho,14316
2014,9,Teleósteos,Guaivira,1480
2014,9,Teleósteos,Linguado,1244
2014,9,Teleósteos,Mangangá,300
2014,9,Teleósteos,Maria-mole,540
2014,9,Teleósteos,Marimbá,20
2014,9,Teleósteos,Meca,5209
2014,9,Teleósteos,Merluza,260
2014,9,Teleósteos,Miracéu,20
2014,9,Teleósteos,Olho-de-cão,60
2014,9,Teleósteos,Palombeta,1830
2014,9,Teleósteos,Pampo,630
2014,9,Teleósteos,Paru,573
2014,9,Teleósteos,Peixe-porco,780
2014,9,Teleósteos,Peixe-sapo,180
2014,9,Teleósteos,Pescada,47520
2014,9,Teleósteos,Pescada-amarela,840
